"id","name"
"2PkWr1ohw1jDtEFWnl8BmvKteCAA32jZveOIAVW09Lj6n9L6kxazvu",Eco-Efficient Electric Vehicle Infrastructure & Platforms
"2XlxgkgJqQDOIfhs3EVUR3f1CSBfH5EbGpbqaDIOzhzse8M7Y05V4H",Climate Tech
"3EsDHtwe0QbADIkVJWtfd7amvriGL4VTslhhtObccSHnK7PG1dN2Pz",Manufacturing in Space
"5bBip5xfkAz7KJhG7YWUEhtx1JeOvwy38OAuJhDkLxLBsDKwRCJTNu",Digital Content Distribution
"6BNISGKqI1dySbIWhrwDUUYlDujDArKKIQOCW8FWvPD723gCAyQgDg",Green Construction
"7THE4gCJY2dO6Dgc2KzL5asLGKWNsvS3yvvlNclw5uV5f3qwcNJgNd",Operations Solutions
"8VYu2JqITFvsp2AzudpnmQrkl3HxYdOIqMvrG6yp2ML7ludDCOZSNT",Eco-Efficient Mobility Optimization & Logistics
"91GUmLRwPKszsmiR0AGD1GVzHd7wI7QYQ07Kn2Rh5jSFvGxlrGUMX4","Carbon Analytics, Earth Data & Fintech"
"98xoEFUh25tBjX0Vr45CtSOpc5S9rHQHbKgBkXmo88afhEBbaiPpP6",Digital Content Production
"9WIpR20ILRrvNTbk9BuQlCibyQX5fprRGVivtcJqKn4JhvqCtW78ad",Defense & HLS Solutions
"9bLcV1kCMocWIYzpei5oUvxV3uaKfAzgyLgHAgc9EsTNEcuJtmvsrg",Carbon Tech
"9pkFKhAdtUefh1vjY2WtUim8QONRKr5M6Xn70xMj6wt3qVmuIRYGcq","IT, R&D & Data Solutions"
"9vvSkVsPTXycrHwovnP3jluQ7PW23zMT1eo7LkX1ATJXWtP0XAFZNG",Sustainable Proteins
AJXCz6rRzRTU45JeqUtU2MBJoXOvFo9dH1sb48pz68Ea9ngZgbzA8Q,Low Carbon DataSphere
CpPuQv2inQF46w09z7IPV6Bj3jif8ui7uYTCnMAzO8MgswbKcLZFEA,Space Components and Infra
EMTQx8M7IAtZg7sCoSu02bZhs1CDYfBW82zQ4g2Cy0ALEIv7TZfeOi,Combat Equipment & Systems
EbAu1JPo3mTutLFTlhhd1b2uTJ3HFCXhoO4QY3j47UQbgYGypqw9Ky,Goods
Eh82EyTf91aSY1X4DvhRp9ZXQy9EF1F4NbDjGo0DmEaULxJAAYD7Hn,Space Tech
EpDuT8YLnx8AOYnDi7ZM1nFWYzQvthUa6VrCe5Mibi4bqqTeaPdMOd,Digital Content Engagement & Entertainment
GGdF4sOg8LaHoSgd90Cc73S26qcVBDKEnpZ8YineypGI63RZaherFT,Digital Products
GMAZ9Etr1aocMlUpTtmSZCwAeDhidWOLtry0lW4gNOWxxERudqAZru,Communications Tools
Gewls4lGMg7txKAuBcBbUMubMTjsqj3gBwYONoc0Ch0SspmZhcpqlu,Energy Transition
GyXF5tQy9WSS6QKHGpHfMOeSyQ9ByDunMhUtMATbKhQoAR1ysq2C9N,Government
Jmyw0j8WsZncaiawl6BhF62gvSNzsdVI6FYJgnbTW4LwtO3nSmW37j,Food Trade & Services
LhsY4RCBwhXfmqAVr4aWHwiEJCuSK0lbNx4C22XDFdMtfZhwlgiycz,Eco-Efficient Energy Storage
MbwsmPhqPzrTUVdGOAAmN4ZQmV6qEEzJnciWeay4UXuEhNNYeJcJ7q,Eco-Efficient Transportation & Logistics
OGm0MwPKHfMDOsolGP9TtDyu7i0h2czGChmV9ZMIdUJUubdA99tYRl,Aviation
QRUhUymix8A1EmVJ1V5KRGsfTndNbzthdIdBpr1tg7N0SyKSvmXdoJ,Communication & Navigation
RbmqmksX733j5CtxKDoXKAlJOiX11qFZmHFTAfFaP47PbnvrXrLWt1,Generative AI
SSyZqf4zX99mUbAf9VyZElvfbN6mjminOi2ncEkLtTUYem3mKk48vT,Simulations & Training
UHgGzlFtpmuX1r8QHvFVykHcdCo0OTj0lQe9e5tleBP3lgk5H5yeni,Services
UXhuIkVuBlnzy2LSFx0b7XIqPcxyYdBeLg3G4GhFqHnJN7vPZbLzWW,Unmanned Systems
VHVMmuQcNjDYUkan9pB2G8wk9TWtLF7Cc9sIzIGJcduLSE47ejrDgF,C4I
VR2xhvmVDeNxTa0zquk8b0WDT9zA84nfxJ83cvhS8uGE0oHxJvttD7,Hydrogen
XGYSwp9GAONQdQQ4tDVqKQN1cBxCtot4vlf0HrJXHeRcrW34XfsHVw,Water for Industry & Residential Uses
ZX0Q21ksVIHp1GQL0HU8PYCtcgOVBw03xw7DXN3hznW5O4AGPQM53L,Sustainable Farming
ZhRvCpzLMSxRqbaWzKGjtqVwRBaFauVZpRSxZzl5xIoSbXBYxIvIPt,Eco-Efficient Transmission and Distribution
afrdESnHoKkMtrxaz30qD3OwnoMPSThWY06QB1psxnzYMNRLnPF6Bl,Teaching & Instruction Tools
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4I-Z2sQJDA,Wireless
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Ie-zrAIDA,Waste
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Ie-ztALDA,Direct-to-consumer
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Ie8rfEJDA,Biologicals
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Ie8rfEKDA,Computer Vision
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Ie8u-QIDA,Communication Services
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Ie8u-QJDA,Musicians
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Ie8u-QLDA,Children
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Ie8u6QIDA,Training
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Ie8u6QJDA,Office Administration
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Ie8u6QKDA,Information & Document Management
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Ie8u6QLDA,Software Testing
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Ie8u8QKDA,Capital Markets
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4IeC3JsJDA,Apparel
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4IeC3JsLDA,Content Production
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4IeC3NsIDA,Government & City
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4IeCqMoIDA,Beef
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4IeCqMoJDA,Online Retailers
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4IeKhcYLDA,Implants
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4IeQlIIIDA,Herbals
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4IeQlLwLDA,Trees
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4IeQo-oIDA,Biotechnology
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4IeQo-oKDA,Resorts
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4IeQo6oLDA,Safety
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4IedsPgLDA,New Fuels
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Iee16sJDA,Solar
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Iee16sLDA,Scent
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Iee18sJDA,Fintech & Insurtech
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Iee18sKDA,Automotive & Mobility Technologies
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Iety48LDA,Tax
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Iety68JDA,Polymers
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Iety68KDA,Communications
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Iety7cLDA,Medical Decision Support
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Iety88JDA,Hotels
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Iety_cIDA,Drugs Discovery & Development
agxzfmlsbGlzdHNpdGVyJAsSF0Jhc2VDbGFzc2lmaWNhdGlvbk1vZGVsGICA4Iety_cJDA,Money Transfer & Management
